"time","channel","proportion","index","move","Movement","proportiontext","move1","movevalue","proportionzero"
0,"Teller",0,1,0,"NoMove",0,0,0,0
0,"ATM",0,2,0,"NoMove",0,0,0,0
0,"APP",0.28,3,0.28,"Increasing",28,28,28,0.28
0,"Internet_Banking",0.72,4,0.72,"Increasing",72,72,72,0.72
1,"Teller",0,5,0,"NoMove",0,0,0,0
1,"ATM",0.18,6,0.18,"Increase",18,18,18,0.18
1,"APP",0.23,7,-0.05,"Decrease",23,-5,-5,0
1,"Internet_Banking",0.59,8,-0.13,"Decrease",59,-13,-13,0
2,"Teller",0,9,0,"NoMove",0,0,0,0
2,"ATM",0.18,10,0,"NoMove",18,0,0,0
2,"APP",0.22,11,-0.01,"Decrease",22,-1,-1,0
2,"Internet_Banking",0.6,12,0.01,"Increase",60,1,1,0.01
3,"Teller",0,13,0,"NoMove",0,0,0,0
3,"ATM",0.16,14,-0.02,"Decrease",16,-2,-2,0
3,"APP",0.22,15,0,"NoMove",22,0,0,0
3,"Internet_Banking",0.62,16,0.02,"Increase",62,2,2,0.02
4,"Teller",0,17,0,"NoMove",0,0,0,0
4,"ATM",0.15,18,-0.01,"Decrease",15,-1,-1,0
4,"APP",0.24,19,0.02,"Increase",24,2,2,0.02
4,"Internet_Banking",0.62,20,0,"NoMove",62,0,0,0
5,"Teller",0,21,0,"NoMove",0,0,0,0
5,"ATM",0.15,22,0,"NoMove",15,0,0,0
5,"APP",0.23,23,-0.00999999999999998,"Decrease",23,-0.999999999999998,-0.999999999999998,0
5,"Internet_Banking",0.62,24,0,"NoMove",62,0,0,0
6,"Teller",0,25,0,"NoMove",0,0,0,0
6,"ATM",0.14,26,-0.00999999999999998,"Decrease",14,-0.999999999999998,-0.999999999999998,0
6,"APP",0.2,27,-0.03,"Decrease",20,-3,-3,0
6,"Internet_Banking",0.67,28,0.05,"Increase",67,5,5,0.05
7,"Teller",0,29,0,"NoMove",0,0,0,0
7,"ATM",0.11,30,-0.03,"Decrease",11,-3,-3,0
7,"APP",0.14,31,-0.06,"Decrease",14,-6,-6,0
7,"Internet_Banking",0.76,32,0.09,"Increase",76,9,9,0.09
